container,index,name,offset,size_bytes,range_valid,classification
main.13.com.ea.gp.fifaworld.obb,0,data\ant\pc\faceposerbig\faceposer_lib_1179.cba,1092032,8668,True,
main.13.com.ea.gp.fifaworld.obb,1,data\ant\pc\faceposerbig\faceposer_lib_1179.cbac,1100736,5769,True,
main.13.com.ea.gp.fifaworld.obb,2,data\ant\pc\faceposerbig\faceposer_lib_121933.cba,1106560,8672,True,
main.13.com.ea.gp.fifaworld.obb,3,data\ant\pc\faceposerbig\faceposer_lib_121933.cbac,1115264,5770,True,
main.13.com.ea.gp.fifaworld.obb,4,data\ant\pc\faceposerbig\faceposer_lib_121944.cba,1121088,8348,True,
main.13.com.ea.gp.fifaworld.obb,5,data\ant\pc\faceposerbig\faceposer_lib_121944.cbac,1129472,5626,True,
main.13.com.ea.gp.fifaworld.obb,6,data\ant\pc\faceposerbig\faceposer_lib_136144.cba,1135104,8144,True,
main.13.com.ea.gp.fifaworld.obb,7,data\ant\pc\faceposerbig\faceposer_lib_136144.cbac,1143296,5422,True,
main.13.com.ea.gp.fifaworld.obb,8,data\ant\pc\faceposerbig\faceposer_lib_138449.cba,1148736,8344,True,
main.13.com.ea.gp.fifaworld.obb,9,data\ant\pc\faceposerbig\faceposer_lib_138449.cbac,1157120,5570,True,
main.13.com.ea.gp.fifaworld.obb,10,data\ant\pc\faceposerbig\faceposer_lib_138956.cba,1162752,8784,True,
main.13.com.ea.gp.fifaworld.obb,11,data\ant\pc\faceposerbig\faceposer_lib_138956.cbac,1171584,5932,True,
main.13.com.ea.gp.fifaworld.obb,12,data\ant\pc\faceposerbig\faceposer_lib_142707.cba,1177536,8652,True,
main.13.com.ea.gp.fifaworld.obb,13,data\ant\pc\faceposerbig\faceposer_lib_142707.cbac,1186240,5766,True,
main.13.com.ea.gp.fifaworld.obb,14,data\ant\pc\faceposerbig\faceposer_lib_142754.cba,1192064,8664,True,
main.13.com.ea.gp.fifaworld.obb,15,data\ant\pc\faceposerbig\faceposer_lib_142754.cbac,1200768,5597,True,
main.13.com.ea.gp.fifaworld.obb,16,data\ant\pc\faceposerbig\faceposer_lib_147777.cba,1206400,8700,True,
main.13.com.ea.gp.fifaworld.obb,17,data\ant\pc\faceposerbig\faceposer_lib_147777.cbac,1215104,5862,True,
main.13.com.ea.gp.fifaworld.obb,18,data\ant\pc\faceposerbig\faceposer_lib_156432.cba,1220992,8468,True,
